IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.8.68,2083,2083,true,NRT,Asia Pacific,Tokyo,186,10.609999999999999
8.222.209.223,2053,0,true,SIN,Asia Pacific,Singapore,4,10.609999999999999
8.219.228.30,2087,2087,true,SIN,Asia Pacific,Singapore,255,10.609999999999999
8.219.84.102,2083,2083,true,SIN,Asia Pacific,Singapore,151,10.609999999999999
47.245.29.126,2096,2096,true,NRT,Asia Pacific,Tokyo,142,10.6
47.236.5.223,2083,2083,true,SIN,Asia Pacific,Singapore,77,10.6
8.222.129.32,2053,2053,true,SIN,Asia Pacific,Singapore,106,10.6
47.245.11.136,8443,8443,true,NRT,Asia Pacific,Tokyo,178,10.6
8.219.184.92,2053,2053,true,SIN,Asia Pacific,Singapore,65,10.59
8.219.99.8,2083,2083,true,SIN,Asia Pacific,Singapore,89,10.59
47.245.59.244,2087,2087,true,NRT,Asia Pacific,Tokyo,108,10.59
8.209.246.24,8443,8443,true,NRT,Asia Pacific,Tokyo,78,10.58
8.219.178.101,2083,2083,true,SIN,Asia Pacific,Singapore,268,10.58
8.222.221.109,8443,8443,true,SIN,Asia Pacific,Singapore,53,10.58
8.218.149.193,8443,8443,true,HKG,Asia Pacific,Hong Kong,86,10.56
47.245.37.89,2053,2053,true,NRT,Asia Pacific,Tokyo,216,10.56
8.218.211.17,8443,8443,true,HKG,Asia Pacific,Hong Kong,125,10.56
47.236.123.218,2087,2087,true,SIN,Asia Pacific,Singapore,168,10.550000000000001
8.219.82.35,2053,2053,true,SIN,Asia Pacific,Singapore,71,10.550000000000001
8.222.244.123,2083,2083,true,SIN,Asia Pacific,Singapore,129,10.550000000000001
8.219.156.148,2053,2053,true,SIN,Asia Pacific,Singapore,66,10.550000000000001
47.245.87.167,2083,2083,true,SIN,Asia Pacific,Singapore,76,10.539999999999999
8.219.193.202,2087,2087,true,SIN,Asia Pacific,Singapore,112,10.539999999999999
8.219.233.6,2083,2083,true,SIN,Asia Pacific,Singapore,163,10.539999999999999
47.236.119.253,2083,2083,true,SIN,Asia Pacific,Singapore,135,10.539999999999999
8.219.248.170,2087,2087,true,SIN,Asia Pacific,Singapore,206,10.52
8.219.172.128,2083,2083,true,SIN,Asia Pacific,Singapore,119,10.52
47.236.155.170,8443,8443,true,SIN,Asia Pacific,Singapore,164,10.52
8.219.206.180,2087,2087,true,SIN,Asia Pacific,Singapore,134,10.51
47.236.39.34,2096,2096,true,SIN,Asia Pacific,Singapore,180,10.51
8.219.178.225,2087,2087,true,SIN,Asia Pacific,Singapore,147,10.51
8.219.201.245,8443,8443,true,SIN,Asia Pacific,Singapore,66,10.51
47.245.34.36,2053,2053,true,NRT,Asia Pacific,Tokyo,181,10.51
8.222.214.13,443,443,true,SIN,Asia Pacific,Singapore,74,10.5
8.209.215.247,2083,2083,true,NRT,Asia Pacific,Tokyo,78,10.5
8.219.222.98,2053,2053,true,SIN,Asia Pacific,Singapore,106,10.5
8.222.193.208,2087,2087,true,SIN,Asia Pacific,Singapore,47,10.5
8.222.198.105,2053,2053,true,SIN,Asia Pacific,Singapore,54,10.5
8.219.220.88,2083,2083,true,SIN,Asia Pacific,Singapore,135,10.49
47.245.54.197,2087,2087,true,NRT,Asia Pacific,Tokyo,264,10.49
47.91.3.179,2053,2053,true,NRT,Asia Pacific,Tokyo,106,10.49
47.74.5.99,2087,2087,true,NRT,Asia Pacific,Tokyo,209,10.49
8.219.195.47,2096,2096,true,SIN,Asia Pacific,Singapore,69,10.48
8.219.222.8,2083,2083,true,SIN,Asia Pacific,Singapore,148,10.48
8.222.249.98,2096,2096,true,SIN,Asia Pacific,Singapore,91,10.470000000000001
8.219.89.201,2083,2083,true,SIN,Asia Pacific,Singapore,121,10.460000000000001
47.245.37.29,2083,2083,true,NRT,Asia Pacific,Tokyo,98,10.460000000000001
47.245.33.56,2053,2053,true,NRT,Asia Pacific,Tokyo,186,10.460000000000001
47.245.26.167,2096,2096,true,NRT,Asia Pacific,Tokyo,257,10.460000000000001
8.219.213.112,2096,2096,true,SIN,Asia Pacific,Singapore,151,10.460000000000001
8.219.253.114,2087,2087,true,SIN,Asia Pacific,Singapore,90,10.460000000000001
8.219.245.232,2083,2083,true,SIN,Asia Pacific,Singapore,106,10.460000000000001
47.236.104.98,2087,2087,true,SIN,Asia Pacific,Singapore,83,10.460000000000001
8.222.167.8,8443,8443,true,SIN,Asia Pacific,Singapore,90,10.449999999999999
47.236.169.15,8443,8443,true,SIN,Asia Pacific,Singapore,113,10.44
47.245.115.6,2087,2087,true,SIN,Asia Pacific,Singapore,33,10.44
8.219.161.102,8443,8443,true,SIN,Asia Pacific,Singapore,217,10.44
8.219.124.227,2083,2083,true,SIN,Asia Pacific,Singapore,125,10.43
47.236.121.23,2083,2083,true,SIN,Asia Pacific,Singapore,123,10.43
47.91.31.231,8443,8443,true,NRT,Asia Pacific,Tokyo,160,10.43
8.219.115.215,2087,2087,true,SIN,Asia Pacific,Singapore,117,10.43
47.236.88.85,8443,8443,true,SIN,Asia Pacific,Singapore,83,10.43
47.236.166.184,2083,2083,true,SIN,Asia Pacific,Singapore,174,10.42
47.74.42.17,2083,2083,true,NRT,Asia Pacific,Tokyo,156,10.42
8.219.233.6,2053,2053,true,SIN,Asia Pacific,Singapore,83,10.42
8.219.193.22,443,443,true,SIN,Asia Pacific,Singapore,122,10.42
47.245.52.165,2096,2096,true,NRT,Asia Pacific,Tokyo,157,10.41
8.219.210.93,2083,2083,true,SIN,Asia Pacific,Singapore,87,10.41
8.219.101.72,2096,2096,true,SIN,Asia Pacific,Singapore,66,10.41
8.219.107.135,2087,2087,true,SIN,Asia Pacific,Singapore,117,10.41
47.74.26.132,2053,2053,true,NRT,Asia Pacific,Tokyo,283,10.41
8.219.170.232,8443,8443,true,SIN,Asia Pacific,Singapore,144,10.4
8.219.175.127,2083,2083,true,SIN,Asia Pacific,Singapore,191,10.4
8.209.222.232,8443,8443,true,HKG,Asia Pacific,Hong Kong,173,10.4
47.245.93.74,2083,2083,true,SIN,Asia Pacific,Singapore,91,10.390000000000001
8.222.193.65,2083,2083,true,SIN,Asia Pacific,Singapore,106,10.390000000000001
8.219.170.58,8443,8443,true,SIN,Asia Pacific,Singapore,49,10.390000000000001
8.210.3.24,2053,2053,true,HKG,Asia Pacific,Hong Kong,43,10.390000000000001
8.219.103.126,2083,2083,true,SIN,Asia Pacific,Singapore,79,10.380000000000001
8.219.210.226,2087,2087,true,SIN,Asia Pacific,Singapore,225,10.380000000000001
8.209.242.25,2053,2053,true,NRT,Asia Pacific,Tokyo,101,10.380000000000001
8.219.220.122,2083,2083,true,SIN,Asia Pacific,Singapore,259,10.369999999999999
8.219.173.239,2096,2096,true,SIN,Asia Pacific,Singapore,127,10.359999999999999
