IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.249.190,2096,2096,true,SIN,Asia Pacific,Singapore,46,9.3200000000000003
47.91.10.228,2087,2087,true,NRT,Asia Pacific,Tokyo,103,9.3200000000000003
8.219.250.239,2096,2096,true,SIN,Asia Pacific,Singapore,205,9.3100000000000005
47.245.40.161,2096,2096,true,NRT,Asia Pacific,Tokyo,181,9.3100000000000005
8.219.137.50,443,443,true,SIN,Asia Pacific,Singapore,135,9.3100000000000005
47.245.34.36,2096,2096,true,NRT,Asia Pacific,Tokyo,173,9.3000000000000007
8.219.228.193,2053,2053,true,SIN,Asia Pacific,Singapore,311,9.3000000000000007
47.74.11.9,2087,2087,true,NRT,Asia Pacific,Tokyo,193,9.3000000000000007
47.245.37.12,2053,2053,true,NRT,Asia Pacific,Tokyo,199,9.3000000000000007
8.219.137.50,2083,2083,true,SIN,Asia Pacific,Singapore,158,9.2899999999999991
8.218.85.128,2096,2096,true,HKG,Asia Pacific,Hong Kong,62,9.2899999999999991
8.219.170.58,2083,2083,true,SIN,Asia Pacific,Singapore,203,9.2899999999999991
47.91.16.198,2087,2087,true,NRT,Asia Pacific,Tokyo,94,9.2799999999999994
47.74.46.84,2053,2053,true,NRT,Asia Pacific,Tokyo,210,9.2799999999999994
8.219.140.63,8443,8443,true,SIN,Asia Pacific,Singapore,75,9.2799999999999994
47.236.169.141,8443,8443,true,SIN,Asia Pacific,Singapore,82,9.2799999999999994
8.219.206.180,443,443,true,SIN,Asia Pacific,Singapore,183,9.2699999999999996
8.219.100.155,2083,2083,true,SIN,Asia Pacific,Singapore,174,9.2699999999999996
47.245.57.38,2053,2053,true,HKG,Asia Pacific,Hong Kong,255,9.2699999999999996
8.219.215.214,2096,2096,true,SIN,Asia Pacific,Singapore,108,9.2699999999999996
47.236.161.110,2096,2096,true,SIN,Asia Pacific,Singapore,116,9.2699999999999996
8.219.100.168,2087,2087,true,SIN,Asia Pacific,Singapore,107,9.2699999999999996
8.219.78.1,8443,8443,true,SIN,Asia Pacific,Singapore,150,9.2599999999999998
8.219.195.47,2096,2096,true,SIN,Asia Pacific,Singapore,144,9.2599999999999998
8.219.110.88,2087,2087,true,SIN,Asia Pacific,Singapore,61,9.2599999999999998
47.245.10.123,2053,2053,true,NRT,Asia Pacific,Tokyo,183,9.2599999999999998
8.222.147.203,8443,8443,true,SIN,Asia Pacific,Singapore,90,9.2599999999999998
47.236.184.14,2083,2083,true,SIN,Asia Pacific,Singapore,127,9.25
47.74.13.200,8443,8443,true,NRT,Asia Pacific,Tokyo,139,9.25
47.236.93.176,2083,2083,true,SIN,Asia Pacific,Singapore,141,9.25
8.219.222.98,8443,8443,true,SIN,Asia Pacific,Singapore,89,9.25
47.236.204.152,2083,2083,true,SIN,Asia Pacific,Singapore,121,9.25
47.236.168.17,2053,2053,true,SIN,Asia Pacific,Singapore,99,9.2400000000000002
47.245.11.108,2083,2083,true,NRT,Asia Pacific,Tokyo,219,9.2400000000000002
8.219.75.44,2096,2096,true,SIN,Asia Pacific,Singapore,76,9.2400000000000002
8.219.215.214,2053,2053,true,SIN,Asia Pacific,Singapore,114,9.2300000000000004
8.219.110.88,2053,2053,true,SIN,Asia Pacific,Singapore,99,9.2300000000000004
47.74.26.131,2083,2083,true,NRT,Asia Pacific,Tokyo,162,9.2300000000000004
47.74.11.251,2083,2083,true,NRT,Asia Pacific,Tokyo,121,9.2300000000000004
8.222.188.56,8443,8443,true,SIN,Asia Pacific,Singapore,30,9.2200000000000006
47.245.59.244,2096,2096,true,NRT,Asia Pacific,Tokyo,147,9.2200000000000006
47.74.14.85,2096,2096,true,NRT,Asia Pacific,Tokyo,220,9.2200000000000006
8.219.245.232,2053,2053,true,SIN,Asia Pacific,Singapore,192,9.2200000000000006
47.242.54.157,2083,2083,true,HKG,Asia Pacific,Hong Kong,66,9.2200000000000006
8.219.142.191,8443,8443,true,SIN,Asia Pacific,Singapore,99,9.2100000000000009
8.219.186.189,2087,2087,true,SIN,Asia Pacific,Singapore,78,9.2100000000000009
47.236.97.90,2087,2087,true,SIN,Asia Pacific,Singapore,79,9.1999999999999993
8.219.253.18,2053,2053,true,SIN,Asia Pacific,Singapore,173,9.1999999999999993
8.219.222.8,2096,2096,true,SIN,Asia Pacific,Singapore,129,9.1999999999999993
47.245.29.64,2083,2083,true,NRT,Asia Pacific,Tokyo,211,9.1999999999999993
8.218.3.12,2083,2083,true,HKG,Asia Pacific,Hong Kong,83,9.1899999999999995
47.236.173.200,2087,2087,true,SIN,Asia Pacific,Singapore,76,9.1899999999999995
47.245.55.99,2096,2096,true,NRT,Asia Pacific,Tokyo,205,9.1899999999999995
8.219.147.58,2096,2096,true,SIN,Asia Pacific,Singapore,167,9.1799999999999997
8.219.134.117,2096,2096,true,SIN,Asia Pacific,Singapore,93,9.1799999999999997
47.242.54.157,2096,2096,true,HKG,Asia Pacific,Hong Kong,46,9.1699999999999999
47.236.121.23,2053,2053,true,SIN,Asia Pacific,Singapore,111,9.1699999999999999
8.219.167.65,2053,2053,true,SIN,Asia Pacific,Singapore,76,9.1699999999999999
47.236.97.58,8443,8443,true,SIN,Asia Pacific,Singapore,127,9.1600000000000001
8.218.18.235,2053,2053,true,HKG,Asia Pacific,Hong Kong,89,9.1600000000000001
8.219.112.75,2087,2087,true,SIN,Asia Pacific,Singapore,111,9.1600000000000001
8.218.22.210,2096,2096,true,HKG,Asia Pacific,Hong Kong,51,9.1500000000000004
8.222.209.223,2053,2053,true,SIN,Asia Pacific,Singapore,54,9.1500000000000004
8.219.110.88,8443,8443,true,SIN,Asia Pacific,Singapore,100,9.1500000000000004
8.219.237.250,2096,2096,true,SIN,Asia Pacific,Singapore,148,9.1400000000000006
8.219.73.188,2053,2053,true,SIN,Asia Pacific,Singapore,54,9.1300000000000008
8.222.212.219,2087,2087,true,SIN,Asia Pacific,Singapore,108,9.1300000000000008
47.74.34.140,2096,2096,true,NRT,Asia Pacific,Tokyo,185,9.1300000000000008
8.219.240.160,8443,8443,true,SIN,Asia Pacific,Singapore,114,9.1300000000000008
47.243.162.49,8443,8443,true,HKG,Asia Pacific,Hong Kong,41,9.1300000000000008
8.219.206.180,2087,2087,true,SIN,Asia Pacific,Singapore,153,9.1199999999999992
47.245.4.219,2096,2096,true,NRT,Asia Pacific,Tokyo,199,9.1199999999999992
47.245.33.56,8443,8443,true,NRT,Asia Pacific,Tokyo,311,9.1199999999999992
8.217.145.40,2087,2087,true,HKG,Asia Pacific,Hong Kong,63,9.1199999999999992
47.91.23.146,2087,2087,true,NRT,Asia Pacific,Tokyo,101,9.1199999999999992
8.219.206.53,443,443,true,SIN,Asia Pacific,Singapore,166,9.1199999999999992
8.219.255.171,2083,2083,true,SIN,Asia Pacific,Singapore,175,9.1099999999999994
8.210.65.1,2083,2083,true,HKG,Asia Pacific,Hong Kong,44,9.1099999999999994
47.245.58.175,2053,2053,true,NRT,Asia Pacific,Tokyo,125,9.1099999999999994
47.245.10.164,2087,2087,true,NRT,Asia Pacific,Tokyo,235,9.0999999999999996
8.219.184.92,2087,2087,true,SIN,Asia Pacific,Singapore,101,9.0999999999999996
8.219.202.130,2083,2083,true,SIN,Asia Pacific,Singapore,139,9.0999999999999996
8.219.90.196,2096,2096,true,SIN,Asia Pacific,Singapore,76,9.0899999999999999
8.219.202.130,8443,8443,true,SIN,Asia Pacific,Singapore,128,9.0899999999999999
47.245.42.162,2087,2087,true,NRT,Asia Pacific,Tokyo,143,9.0899999999999999
47.245.54.58,2083,2083,true,NRT,Asia Pacific,Tokyo,268,9.0899999999999999
47.74.50.249,2087,2087,true,NRT,Asia Pacific,Tokyo,164,9.0800000000000001
47.245.56.207,2083,2083,true,NRT,Asia Pacific,Tokyo,279,9.0800000000000001
47.74.15.80,2096,2096,true,NRT,Asia Pacific,Tokyo,160,9.0700000000000003
8.219.106.15,2087,2087,true,SIN,Asia Pacific,Singapore,58,9.0700000000000003
8.222.187.107,2087,2087,true,SIN,Asia Pacific,Singapore,50,9.0700000000000003
47.74.8.238,2087,2087,true,NRT,Asia Pacific,Tokyo,228,9.0600000000000005
8.219.220.122,2087,2087,true,SIN,Asia Pacific,Singapore,51,9.0600000000000005
8.219.222.98,2083,2083,true,SIN,Asia Pacific,Singapore,96,9.0600000000000005
8.219.228.30,2053,2053,true,SIN,Asia Pacific,Singapore,134,9.0500000000000007
47.245.10.77,8443,8443,true,NRT,Asia Pacific,Tokyo,103,9.0500000000000007
47.236.156.14,2083,2083,true,SIN,Asia Pacific,Singapore,105,9.0399999999999991
8.219.67.133,2087,2087,true,SIN,Asia Pacific,Singapore,106,9.0399999999999991
8.219.210.226,2083,2083,true,SIN,Asia Pacific,Singapore,150,9.0399999999999991
8.219.184.92,2053,2053,true,SIN,Asia Pacific,Singapore,187,9.0399999999999991
8.222.137.178,2096,2096,true,SIN,Asia Pacific,Singapore,78,9.0299999999999994
47.242.234.127,2087,2087,true,HKG,Asia Pacific,Hong Kong,55,9.0299999999999994
8.222.154.50,2087,2087,true,SIN,Asia Pacific,Singapore,81,9.0299999999999994
8.219.159.232,443,443,true,SIN,Asia Pacific,Singapore,120,9.0299999999999994
8.219.210.93,2053,2053,true,SIN,Asia Pacific,Singapore,87,9.0299999999999994
47.74.7.51,2053,2053,true,NRT,Asia Pacific,Tokyo,135,9.0299999999999994
8.219.134.117,2083,2083,true,SIN,Asia Pacific,Singapore,126,9.0199999999999996
47.245.33.56,2087,2087,true,NRT,Asia Pacific,Tokyo,213,9.0099999999999998
47.245.14.216,8443,8443,true,NRT,Asia Pacific,Tokyo,293,9.0099999999999998
8.222.175.78,2053,2053,true,SIN,Asia Pacific,Singapore,86,9.0099999999999998
47.245.118.197,2087,2087,true,SIN,Asia Pacific,Singapore,79,9.0099999999999998
8.219.106.15,2053,2053,true,SIN,Asia Pacific,Singapore,91,9.0099999999999998
8.219.208.69,8443,8443,true,SIN,Asia Pacific,Singapore,234,9.0099999999999998
47.236.17.165,8443,8443,true,SIN,Asia Pacific,Singapore,74,9.0099999999999998
8.219.238.145,8443,8443,true,SIN,Asia Pacific,Singapore,230,9.0099999999999998
8.219.228.186,2087,2087,true,SIN,Asia Pacific,Singapore,182,9
47.242.79.71,2053,2053,true,HKG,Asia Pacific,Hong Kong,92,9
8.217.239.116,2087,2087,true,HKG,Asia Pacific,Hong Kong,60,9
8.219.141.174,8443,8443,true,SIN,Asia Pacific,Singapore,97,9
47.245.108.213,2053,2053,true,SIN,Asia Pacific,Singapore,89,9
8.222.255.15,2053,2053,true,SIN,Asia Pacific,Singapore,67,9
47.236.123.218,2053,2053,true,SIN,Asia Pacific,Singapore,98,8.9900000000000002
8.222.240.47,8443,8443,true,SIN,Asia Pacific,Singapore,96,8.9900000000000002
47.245.113.12,2083,2083,true,SIN,Asia Pacific,Singapore,54,8.9900000000000002
47.74.34.135,2053,2053,true,NRT,Asia Pacific,Tokyo,261,8.9800000000000004
47.74.13.239,2096,2096,true,NRT,Asia Pacific,Tokyo,230,8.9800000000000004
8.219.72.51,2053,2053,true,SIN,Asia Pacific,Singapore,147,8.9800000000000004
47.245.52.240,2096,2096,true,NRT,Asia Pacific,Tokyo,173,8.9700000000000006
8.219.63.66,2096,2096,true,SIN,Asia Pacific,Singapore,119,8.9700000000000006
47.242.54.157,443,443,true,HKG,Asia Pacific,Hong Kong,88,8.9700000000000006
47.245.34.140,2053,2053,true,NRT,Asia Pacific,Tokyo,166,8.9700000000000006
47.243.161.235,2083,2083,true,HKG,Asia Pacific,Hong Kong,43,8.9600000000000009
47.236.92.191,8443,8443,true,SIN,Asia Pacific,Singapore,117,8.9600000000000009
8.209.215.247,2096,2096,true,NRT,Asia Pacific,Tokyo,74,8.9600000000000009
8.219.148.161,2053,2053,true,SIN,Asia Pacific,Singapore,221,8.9499999999999993
47.74.27.151,2096,2096,true,NRT,Asia Pacific,Tokyo,204,8.9499999999999993
47.236.93.176,8443,8443,true,SIN,Asia Pacific,Singapore,95,8.9499999999999993
47.74.37.50,2096,2096,true,NRT,Asia Pacific,Tokyo,225,8.9499999999999993
47.74.39.194,2087,2087,true,NRT,Asia Pacific,Tokyo,167,8.9399999999999995
47.74.5.233,8443,8443,true,NRT,Asia Pacific,Tokyo,218,8.9399999999999995
8.209.255.195,2053,2053,true,HKG,Asia Pacific,Hong Kong,136,8.9399999999999995
47.245.39.49,2053,2053,true,HKG,Asia Pacific,Hong Kong,408,8.9399999999999995
8.222.221.109,2083,2083,true,SIN,Asia Pacific,Singapore,95,8.9399999999999995
47.245.58.250,2053,2053,true,NRT,Asia Pacific,Tokyo,159,8.9299999999999997
8.217.207.60,8443,8443,true,HKG,Asia Pacific,Hong Kong,78,8.9299999999999997
8.219.103.65,2053,2053,true,SIN,Asia Pacific,Singapore,86,8.9299999999999997
47.245.62.84,2096,2096,true,NRT,Asia Pacific,Tokyo,176,8.9299999999999997
8.219.255.171,2053,2053,true,SIN,Asia Pacific,Singapore,154,8.9199999999999999
8.219.122.55,2087,2087,true,SIN,Asia Pacific,Singapore,116,8.9199999999999999
8.219.170.232,2053,2053,true,SIN,Asia Pacific,Singapore,116,8.9199999999999999
8.222.219.34,2087,2087,true,SIN,Asia Pacific,Singapore,60,8.9199999999999999
47.245.11.62,2096,2096,true,NRT,Asia Pacific,Tokyo,229,8.9199999999999999
8.219.201.245,2053,2053,true,SIN,Asia Pacific,Singapore,199,8.9100000000000001
8.222.215.228,2087,2087,true,SIN,Asia Pacific,Singapore,44,8.9100000000000001
47.245.55.99,2053,2053,true,NRT,Asia Pacific,Tokyo,199,8.9100000000000001
8.219.170.180,8443,8443,true,SIN,Asia Pacific,Singapore,174,8.9100000000000001
8.210.39.96,2083,2083,true,HKG,Asia Pacific,Hong Kong,61,8.9100000000000001
8.219.235.164,443,443,true,SIN,Asia Pacific,Singapore,163,8.9100000000000001
47.245.39.49,2083,2083,true,HKG,Asia Pacific,Hong Kong,369,8.9100000000000001
8.219.154.107,2053,2053,true,SIN,Asia Pacific,Singapore,132,8.9000000000000004
47.245.37.98,8443,8443,true,NRT,Asia Pacific,Tokyo,174,8.8900000000000006
8.219.201.8,2083,2083,true,SIN,Asia Pacific,Singapore,306,8.8900000000000006
47.245.41.84,2087,2087,true,NRT,Asia Pacific,Tokyo,174,8.8900000000000006
8.222.224.163,8443,8443,true,SIN,Asia Pacific,Singapore,61,8.8900000000000006
47.236.99.131,8443,8443,true,SIN,Asia Pacific,Singapore,92,8.8900000000000006
47.91.16.198,2053,2053,true,NRT,Asia Pacific,Tokyo,94,8.8800000000000008
8.219.237.250,2083,2083,true,SIN,Asia Pacific,Singapore,178,8.8800000000000008
8.219.126.3,2083,2083,true,SIN,Asia Pacific,Singapore,57,8.8800000000000008
47.76.33.40,2096,2096,true,HKG,Asia Pacific,Hong Kong,83,8.8699999999999992
8.217.167.88,2083,2083,true,HKG,Asia Pacific,Hong Kong,107,8.8699999999999992
8.219.206.53,2087,2087,true,SIN,Asia Pacific,Singapore,123,8.8699999999999992
8.219.195.47,2053,2053,true,SIN,Asia Pacific,Singapore,243,8.8699999999999992
8.219.213.84,2083,2083,true,SIN,Asia Pacific,Singapore,108,8.8699999999999992
8.222.193.65,2096,2096,true,SIN,Asia Pacific,Singapore,75,8.8699999999999992
8.219.220.88,2087,2087,true,SIN,Asia Pacific,Singapore,146,8.8699999999999992
8.218.142.253,2096,2096,true,HKG,Asia Pacific,Hong Kong,73,8.8699999999999992
47.245.26.167,2083,2083,true,NRT,Asia Pacific,Tokyo,240,8.8599999999999994
8.219.235.164,8443,8443,true,SIN,Asia Pacific,Singapore,153,8.8599999999999994
8.222.249.190,2083,2083,true,SIN,Asia Pacific,Singapore,59,8.8599999999999994
8.218.22.210,2053,2053,true,HKG,Asia Pacific,Hong Kong,80,8.8599999999999994
47.245.41.84,2053,2053,true,NRT,Asia Pacific,Tokyo,124,8.8599999999999994
8.219.139.86,2083,2083,true,SIN,Asia Pacific,Singapore,184,8.8499999999999996
8.219.185.191,8443,8443,true,SIN,Asia Pacific,Singapore,228,8.8499999999999996
47.74.46.84,2096,2096,true,NRT,Asia Pacific,Tokyo,178,8.8399999999999999
47.74.6.16,2053,2053,true,NRT,Asia Pacific,Tokyo,155,8.8399999999999999
47.245.86.230,2096,2096,true,SIN,Asia Pacific,Singapore,62,8.8399999999999999
47.245.115.6,443,443,true,SIN,Asia Pacific,Singapore,119,8.8300000000000001
47.91.31.231,2087,2087,true,NRT,Asia Pacific,Tokyo,156,8.8300000000000001
8.219.92.89,2083,2083,true,SIN,Asia Pacific,Singapore,137,8.8300000000000001
8.219.210.226,8443,8443,true,SIN,Asia Pacific,Singapore,166,8.8200000000000003
47.242.232.14,2087,2087,true,HKG,Asia Pacific,Hong Kong,93,8.8200000000000003
8.219.114.201,443,443,true,SIN,Asia Pacific,Singapore,47,8.8200000000000003
47.245.80.39,8443,8443,true,SIN,Asia Pacific,Singapore,105,8.8100000000000005
47.74.52.104,2083,2083,true,NRT,Asia Pacific,Tokyo,162,8.8100000000000005
8.219.82.177,8443,8443,true,SIN,Asia Pacific,Singapore,58,8.8000000000000007
8.210.65.1,2053,2053,true,HKG,Asia Pacific,Hong Kong,42,8.8000000000000007
47.245.58.175,2083,2083,true,NRT,Asia Pacific,Tokyo,301,8.8000000000000007
47.236.149.107,2087,2087,true,SIN,Asia Pacific,Singapore,74,8.8000000000000007
8.222.221.86,2087,2087,true,SIN,Asia Pacific,Singapore,89,8.8000000000000007
47.245.54.140,2053,2053,true,NRT,Asia Pacific,Tokyo,111,8.8000000000000007
8.222.224.163,2053,2053,true,SIN,Asia Pacific,Singapore,98,8.8000000000000007
47.74.23.99,8443,8443,true,NRT,Asia Pacific,Tokyo,149,8.8000000000000007
8.219.253.185,8443,8443,true,SIN,Asia Pacific,Singapore,158,8.7899999999999991
47.74.23.99,2083,2083,true,NRT,Asia Pacific,Tokyo,228,8.7899999999999991
47.236.7.13,2053,2053,true,SIN,Asia Pacific,Singapore,67,8.7899999999999991
47.245.41.169,8443,8443,true,NRT,Asia Pacific,Tokyo,76,8.7899999999999991
47.74.42.17,8443,8443,true,NRT,Asia Pacific,Tokyo,190,8.7899999999999991
8.222.212.219,443,443,true,SIN,Asia Pacific,Singapore,74,8.7899999999999991
47.91.10.228,2096,2096,true,NRT,Asia Pacific,Tokyo,90,8.7899999999999991
8.219.178.225,2087,2087,true,SIN,Asia Pacific,Singapore,121,8.7899999999999991
8.222.140.185,2087,2087,true,SIN,Asia Pacific,Singapore,91,8.7899999999999991
47.236.12.73,2087,2087,true,SIN,Asia Pacific,Singapore,58,8.7799999999999994
8.219.101.138,2083,2083,true,SIN,Asia Pacific,Singapore,148,8.7799999999999994
8.222.222.64,443,443,true,SIN,Asia Pacific,Singapore,57,8.7799999999999994
47.236.194.67,2096,2096,true,HKG,Asia Pacific,Hong Kong,135,8.7699999999999996
8.217.159.210,8443,8443,true,HKG,Asia Pacific,Hong Kong,74,8.7599999999999998
47.74.5.150,2053,2053,true,NRT,Asia Pacific,Tokyo,142,8.7599999999999998
47.236.106.37,8443,8443,true,SIN,Asia Pacific,Singapore,98,8.7599999999999998
47.236.163.221,8443,8443,true,SIN,Asia Pacific,Singapore,100,8.7599999999999998
47.74.54.33,2053,2053,true,NRT,Asia Pacific,Tokyo,236,8.7599999999999998
8.219.194.170,8443,8443,true,SIN,Asia Pacific,Singapore,36,8.7599999999999998
8.219.104.242,2087,2087,true,SIN,Asia Pacific,Singapore,108,8.7599999999999998
8.219.161.129,2087,2087,true,SIN,Asia Pacific,Singapore,121,8.75
47.245.37.94,2053,2053,true,NRT,Asia Pacific,Tokyo,230,8.75
8.219.245.187,2053,2053,true,SIN,Asia Pacific,Singapore,185,8.75
47.236.12.73,2083,2083,true,SIN,Asia Pacific,Singapore,109,8.75
8.219.208.69,8443,8443,true,SIN,Asia Pacific,Singapore,121,8.75
47.245.33.56,2083,2083,true,NRT,Asia Pacific,Tokyo,212,8.75
8.209.240.229,2053,2053,true,NRT,Asia Pacific,Tokyo,85,8.75
47.245.52.165,2053,2053,true,NRT,Asia Pacific,Tokyo,166,8.75
8.219.121.87,2083,2083,true,SIN,Asia Pacific,Singapore,106,8.75
8.219.198.139,2053,2053,true,SIN,Asia Pacific,Singapore,180,8.75
47.236.171.112,8443,8443,true,SIN,Asia Pacific,Singapore,131,8.75
8.219.253.114,2053,2053,true,SIN,Asia Pacific,Singapore,230,8.75
8.210.146.108,8443,8443,true,HKG,Asia Pacific,Hong Kong,86,8.7400000000000002
47.74.34.73,2087,2087,true,NRT,Asia Pacific,Tokyo,148,8.7400000000000002
47.74.5.233,2053,2053,true,NRT,Asia Pacific,Tokyo,169,8.7400000000000002
8.217.91.121,2087,2087,true,HKG,Asia Pacific,Hong Kong,95,8.7400000000000002
8.219.174.142,2096,2096,true,SIN,Asia Pacific,Singapore,266,8.7400000000000002
8.219.174.213,2053,2053,true,SIN,Asia Pacific,Singapore,101,8.7300000000000004
8.219.197.111,2083,2083,true,SIN,Asia Pacific,Singapore,119,8.7300000000000004
8.219.253.185,2096,2096,true,SIN,Asia Pacific,Singapore,140,8.7300000000000004
47.245.7.212,8443,8443,true,NRT,Asia Pacific,Tokyo,277,8.7300000000000004
8.219.193.202,2083,2083,true,SIN,Asia Pacific,Singapore,120,8.7300000000000004
8.219.4.122,2096,2096,true,SIN,Asia Pacific,Singapore,90,8.7300000000000004
8.219.178.101,8443,8443,true,SIN,Asia Pacific,Singapore,137,8.7300000000000004
8.218.2.181,2053,2053,true,HKG,Asia Pacific,Hong Kong,80,8.7200000000000006
47.236.150.13,2053,2053,true,SIN,Asia Pacific,Singapore,42,8.7200000000000006
47.245.2.231,2083,2083,true,NRT,Asia Pacific,Tokyo,156,8.7200000000000006
47.236.116.26,8443,8443,true,SIN,Asia Pacific,Singapore,73,8.7200000000000006
47.245.41.169,2083,2083,true,NRT,Asia Pacific,Tokyo,78,8.7200000000000006
47.74.54.33,2096,2096,true,NRT,Asia Pacific,Tokyo,234,8.7200000000000006
47.91.29.108,2053,2053,true,NRT,Asia Pacific,Tokyo,110,8.7100000000000009
47.236.175.189,8443,8443,true,SIN,Asia Pacific,Singapore,104,8.7100000000000009
47.91.14.69,2083,2083,true,NRT,Asia Pacific,Tokyo,127,8.7100000000000009
47.245.37.12,8443,8443,true,NRT,Asia Pacific,Tokyo,101,8.7100000000000009
8.219.140.229,2087,2087,true,SIN,Asia Pacific,Singapore,109,8.7100000000000009
8.219.72.51,2096,2096,true,SIN,Asia Pacific,Singapore,84,8.7100000000000009
8.219.186.189,2083,2083,true,SIN,Asia Pacific,Singapore,75,8.6999999999999993
8.219.4.122,2087,2087,true,SIN,Asia Pacific,Singapore,132,8.6999999999999993
8.222.198.105,2096,2096,true,SIN,Asia Pacific,Singapore,121,8.6999999999999993
47.245.8.156,8443,8443,true,NRT,Asia Pacific,Tokyo,288,8.6999999999999993
47.245.62.84,8443,8443,true,NRT,Asia Pacific,Tokyo,259,8.6999999999999993
8.219.198.139,443,443,true,SIN,Asia Pacific,Singapore,195,8.6899999999999995
8.222.236.229,2096,2096,true,SIN,Asia Pacific,Singapore,73,8.6899999999999995
47.76.33.40,2083,2083,true,HKG,Asia Pacific,Hong Kong,120,8.6899999999999995
47.245.58.250,2083,2083,true,NRT,Asia Pacific,Tokyo,162,8.6899999999999995
8.219.228.157,443,443,true,SIN,Asia Pacific,Singapore,136,8.6799999999999997
8.222.208.83,8443,8443,true,SIN,Asia Pacific,Singapore,80,8.6799999999999997
47.245.86.18,2087,2087,true,SIN,Asia Pacific,Singapore,56,8.6799999999999997
8.219.142.191,8443,8443,true,SIN,Asia Pacific,Singapore,139,8.6799999999999997
8.219.134.63,2053,2053,true,SIN,Asia Pacific,Singapore,92,8.6699999999999999
8.218.105.223,2053,2053,true,HKG,Asia Pacific,Hong Kong,79,8.6699999999999999
8.219.139.13,2096,2096,true,SIN,Asia Pacific,Singapore,107,8.6699999999999999
8.219.253.18,2096,2096,true,SIN,Asia Pacific,Singapore,160,8.6600000000000001
47.74.37.176,8443,8443,true,NRT,Asia Pacific,Tokyo,119,8.6600000000000001
8.219.228.193,2096,2096,true,SIN,Asia Pacific,Singapore,147,8.6600000000000001
47.245.37.41,2087,2087,true,NRT,Asia Pacific,Tokyo,129,8.6600000000000001
8.222.144.50,2096,2096,true,SIN,Asia Pacific,Singapore,80,8.6600000000000001
47.245.82.78,2083,2083,true,SIN,Asia Pacific,Singapore,60,8.6500000000000004
47.74.8.238,2083,2083,true,NRT,Asia Pacific,Tokyo,92,8.6500000000000004
47.74.37.50,2083,2083,true,NRT,Asia Pacific,Tokyo,125,8.6400000000000006
47.91.2.165,2096,2096,true,NRT,Asia Pacific,Tokyo,175,8.6400000000000006
47.245.54.98,2083,2083,true,NRT,Asia Pacific,Tokyo,215,8.6300000000000008
8.219.72.50,2053,2053,true,SIN,Asia Pacific,Singapore,223,8.6300000000000008
47.236.227.21,2087,2087,true,SIN,Asia Pacific,Singapore,92,8.6300000000000008
8.219.87.34,443,443,true,SIN,Asia Pacific,Singapore,74,8.6199999999999992
8.209.248.161,2096,2096,true,NRT,Asia Pacific,Tokyo,106,8.6099999999999994
8.218.119.115,8443,8443,true,HKG,Asia Pacific,Hong Kong,70,8.6099999999999994
8.218.18.132,2087,2087,true,HKG,Asia Pacific,Hong Kong,81,8.6099999999999994
8.219.194.170,2096,2096,true,SIN,Asia Pacific,Singapore,218,8.6099999999999994
8.210.39.96,8443,8443,true,HKG,Asia Pacific,Hong Kong,40,8.5999999999999996
47.245.9.228,2053,2053,true,NRT,Asia Pacific,Tokyo,281,8.5999999999999996
8.219.111.175,8443,8443,true,SIN,Asia Pacific,Singapore,58,8.5999999999999996
47.236.19.51,2087,2087,true,SIN,Asia Pacific,Singapore,136,8.5999999999999996
8.222.175.6,443,443,true,SIN,Asia Pacific,Singapore,117,8.5999999999999996
47.245.40.161,2087,2087,true,NRT,Asia Pacific,Tokyo,239,8.5999999999999996
47.245.56.29,2053,2053,true,NRT,Asia Pacific,Tokyo,223,8.5899999999999999
8.219.188.162,443,443,true,SIN,Asia Pacific,Singapore,159,8.5899999999999999
8.219.161.129,8443,8443,true,SIN,Asia Pacific,Singapore,85,8.5800000000000001
8.219.147.58,2096,2096,true,SIN,Asia Pacific,Singapore,93,8.5800000000000001
47.236.87.206,2053,2053,true,SIN,Asia Pacific,Singapore,99,8.5800000000000001
47.242.232.14,2087,2087,true,HKG,Asia Pacific,Hong Kong,61,8.5700000000000003
47.245.55.235,2096,2096,true,NRT,Asia Pacific,Tokyo,242,8.5700000000000003
47.245.53.50,2083,2083,true,NRT,Asia Pacific,Tokyo,234,8.5700000000000003
47.245.39.28,2096,2096,true,NRT,Asia Pacific,Tokyo,216,8.5700000000000003
8.222.227.191,2087,2087,true,SIN,Asia Pacific,Singapore,79,8.5700000000000003
8.222.168.155,2087,2087,true,SIN,Asia Pacific,Singapore,103,8.5600000000000005
8.219.199.220,2087,2087,true,SIN,Asia Pacific,Singapore,148,8.5600000000000005
47.74.10.100,2087,2087,true,NRT,Asia Pacific,Tokyo,136,8.5600000000000005
47.74.27.211,2083,2083,true,NRT,Asia Pacific,Tokyo,216,8.5600000000000005
47.245.54.58,2087,2087,true,NRT,Asia Pacific,Tokyo,174,8.5600000000000005
47.236.194.67,8443,8443,true,SIN,Asia Pacific,Singapore,95,8.5600000000000005
8.219.206.180,2096,2096,true,SIN,Asia Pacific,Singapore,118,8.5600000000000005
8.219.142.191,2053,2053,true,SIN,Asia Pacific,Singapore,81,8.5399999999999991
47.245.58.175,2087,2087,true,NRT,Asia Pacific,Tokyo,185,8.5399999999999991
